Citing,Cited
US06009564,US04447914
US06009564,US04571748
US06009564,US04682007
US06009564,US04736466
US06009564,US04737918
US06009564,US04867550
US06009564,US05056156
US06009564,US05131101
US06009564,US05138494
US06009564,US05220689
US06009564,US05287562
US06009564,US05347323
US06009564,US05390369
US06009564,US05410763
US06009564,US05428411
US06009564,US05648832
US06009564,US05689323
US06009564,US05802622
US06009564,US05815848
US06009565,US04302847
US06009565,US04561123
US06009565,US04807301
US06009565,US04987613
US06009565,US05052052
US06009565,US05105473
US06009565,US05365610
US06009565,US05383236
US06009565,US05383920
US06009565,US05433355
US06009565,US05437618
US06009565,US05461730
US06009565,US05497511
US06009565,US05500952
US06009565,US05551082
US06009565,US05592689
US06009566,US04638510
US06009566,US04909459
US06009566,US04923147
US06009566,US05267708
US06009566,US05272770
US06009566,US05715541
US06009567,US04331174
US06009567,US04937892
US06009567,US05367716
US06009567,US05449117
US06009567,US05513394
US06009569,US04129907
US06009569,US04951324
US06009569,US05086523
US06009569,US05341519
US06009569,US05375267
US06009569,US05384919
US06009569,US05459889
US06009569,US05636410
US06009569,US05653319
US06009570,US03878572
US06009570,US03922735
US06009570,US03943583
US06009570,US03958283
US06009570,US04039363
US06009570,US04094024
US06009570,US04425676
US06009570,US04472848
US06009570,US04638514
US06009570,US04694520
US06009570,US04791686
US06009570,US04821348
US06009570,US04828709
US06009570,US04833457
US06009570,US04920587
US06009570,US04955090
US06009570,US04977629
US06009570,US04995124
US06009570,US05033130
US06009570,US05058222
US06009570,US05077845
US06009570,US05090067
US06009570,US05189745
US06009570,US05342583
US06009570,US05350369
US06009570,US05504948
US06009570,US05581825
US06009570,US05647090
US06009571,US04823412
US06009572,US04996728
US06009572,US05383238
US06009573,US04035299
US06009573,US04346484
US06009573,US04351077
US06009573,US04642833
US06009573,US04742593
US06009573,US04973403
US06009573,US05014382
US06009573,US05499406
US06009573,US05536397
US06009573,US05570481
US06009573,US05665248
US06009573,US05734999
US06009574,US04077424
US06009574,US04592379
US06009574,US04625763
US06009574,US04655252
US06009574,US04751919
US06009574,US04817656
US06009574,US04908016
US06009574,US04989641
US06009574,US05003646
US06009574,US05158076
US06009574,US05548854
US06009575,US04879774
US06009576,US04897885
US06009576,US04979250
US06009576,US05692257
US06009577,US04139920
US06009577,US04689844
US06009577,US04738488
US06009577,US05027457
US06009577,US05103516
US06009577,US05271114
US06009577,US05363524
US06009577,US05375278
US06009577,US05522105
US06009577,US05535467
US06009577,US05567015
US06009577,US05584086
US06009577,US05630651
US06009577,US05644807
US06009577,US05644809
US06009578,US04660238
US06009578,US05079790
US06009578,US05189747
US06009578,US05352023
US06009578,US05369829
US06009578,US05378045
US06009578,US05402545
US06009578,US05426801
US06009578,US05456519
US06009578,US05459896
US06009578,US05522106
US06009578,US05568660
US06009578,US05636395
US06009578,US05639145
US06009578,US05737788
US06009579,US04015299
US06009579,US04040133
US06009579,US04488323
US06009579,US04646375
US06009579,US04899407
US06009579,US04916766
US06009579,US04962554
US06009579,US04979251
US06009579,US05428852
US06009579,US05441789
US06009579,US05732424
US06009579,US05860174
US06009580,US04873737
US06009580,US05170364
US06009580,US05283735
US06009580,US05560374
US06009580,US05815864
US06009581,US04200948
US06009581,US04281433
US06009581,US04553279
US06009581,US04984324
US06009581,US05020181
US06009581,US05095573
US06009581,US05272782
US06009581,US05440777
US06009581,US05720063
US06009581,US05870786
US06009582,US04037276
US06009582,US04078272
US06009582,US04122569
US06009582,US04157616
US06009582,US04187607
US06009582,US04238862
US06009582,US04261103
US06009582,US04442559
US06009582,US04461080
US06009582,US04512051
US06009582,US04528751
US06009582,US04539749
US06009582,US04602397
US06009582,US04606123
US06009582,US04614001
US06009582,US04648145
US06009582,US04658456
US06009582,US04660241
US06009582,US04669140
US06009582,US04672745
US06009582,US04720030
US06009582,US04722140
US06009582,US04741059
US06009582,US04744272
US06009582,US04776094
US06009582,US04783867
US06009582,US04787109
US06009582,US04794692
US06009582,US04805250
US06009582,US04805303
US06009582,US04805818
US06009582,US04819289
US06009582,US04854045
US06009582,US04856132
US06009582,US04888869
US06009582,US04891881
US06009582,US04918775
US06009582,US04942637
US06009582,US04953248
US06009582,US04960016
US06009582,US04961239
US06009582,US04995128
US06009582,US05029354
US06009582,US05029355
US06009582,US05033140
US06009582,US05062173
US06009582,US05119520
US06009582,US05125157
US06009582,US05136744
US06009582,US05142721
US06009582,US05150488
US06009582,US05205006
US06009582,US05207014
US06009582,US05212844
US06009582,US05218892
US06009582,US05220701
US06009582,US05245721
US06009582,US05251353
US06009582,US05267366
US06009582,US05280659
US06009582,US05283920
US06009582,US05327602
US06009582,US05400451
US06009582,US05402575
US06009582,US05416940
US06009582,US05432968
US06009582,US05442529
US06009582,US05615484
US06009582,US05697114
US06009582,US05737841
US06009582,US05765247
US06009583,US03858258
US06009583,US03947905
US06009583,US04208749
US06009583,US04669140
US06009583,US04744272
US06009583,US04898161
US06009583,US05007313
US06009583,US05101563
US06009583,US05212859
US06009583,US05458029
US06009583,US05515587
US06009584,US03958690
US06009584,US04037716
US06009584,US04202445
US06009584,US04300610
US06009584,US04331194
US06009584,US04457425
US06009584,US04535987
US06009584,US04734953
US06009584,US04934528
US06009584,US04946030
US06009584,US04974842
US06009584,US05080223
US06009584,US05328026
US06009584,US05333343
US06009584,US05467871
US06009584,US05617605
US06009585,US04012194
US06009585,US04441340
US06009585,US04912793
US06009585,US04969926
US06009585,US05097556
US06009585,US05222267
US06009585,US05309587
US06009585,US05582650
US06009585,US05732362
US06009585,US05787537
US06009585,US05937675
US06009586,US04151695
US06009586,US04200946
US06009586,US04458620
US06009586,US04649588
US06009586,US04912795
US06009586,US04945595
US06009586,US04965903
US06009586,US05152632
US06009586,US05414885
US06009586,US05499888
US06009586,US05570486
US06009586,US05724691
US06009587,US04685857
US06009587,US04761847
US06009587,US04864672
US06009587,US04913615
US06009587,US05062174
US06009587,US05156432
US06009587,US05214818
US06009587,US05257894
US06009587,US05287579
US06009587,US05306112
US06009587,US05325558
US06009587,US05440773
US06009588,US04570281
US06009588,US04686732
US06009588,US04914775
US06009588,US04956889
US06009590,US05027512
US06009590,US05615441
US06009590,US05884513
US06009591,US04561143
US06009591,US05218735
US06009591,US05392489
US06009592,US05068942
US06009592,US05564156
US06009593,US03947911
US06009593,US03987512
US06009593,US04490873
US06009593,US04771498
US06009593,US04809397
US06009593,US04893375
US06009593,US05088149
US06009594,US05212848
US06009594,US05301387
US06009594,US05555599
US06009594,US05819366
US06009595,US04118826
US06009595,US04458377
US06009595,US04797072
US06009595,US05090088
US06009595,US05119619
US06009595,US05195208
US06009595,US05272858
US06009595,US05294063
US06009595,US05722110
US06009595,US05735018
US06009596,US03909197
US06009596,US03914592
US06009596,US03939527
US06009596,US03942217
US06009596,US03977797
US06009596,US04021144
US06009596,US04080104
US06009596,US04087706
US06009596,US04087881
US06009596,US04114229
US06009596,US04123818
US06009596,US04138761
US06009596,US04153968
US06009596,US04171208
US06009596,US04179768
US06009596,US04185354
US06009596,US04194262
US06009596,US04207649
US06009596,US04216563
US06009596,US04218805
US06009596,US04226000
US06009596,US04244079
US06009596,US04267617
US06009596,US04287636
US06009596,US04314385
US06009596,US04318202
US06009596,US04321219
US06009596,US04329756
US06009596,US04348783
US06009596,US04353145
US06009596,US04397057
US06009596,US04458377
US06009596,US04654926
US06009596,US04667364
US06009596,US04675935
US06009596,US04723337
US06009596,US04741069
US06009596,US04776058
US06009596,US04788738
US06009596,US04800612
US06009596,US04800613
US06009596,US04801376
US06009596,US04809396
US06009596,US04827562
US06009596,US04841595
US06009596,US04845793
US06009596,US04847943
US06009596,US04864680
US06009596,US04934017
US06009596,US04949424
US06009596,US04956891
US06009596,US04974282
US06009596,US04976850
US06009596,US04977638
US06009596,US05012549
US06009596,US05048148
US06009596,US05086537
US06009596,US05099543
US06009596,US05120922
US06009596,US05125126
US06009596,US05134748
US06009596,US05174730
US06009596,US05182834
US06009596,US05184370
US06009596,US05189755
US06009596,US05210902
US06009596,US05244003
US06009596,US05263225
US06009596,US05267370
US06009596,US05287587
US06009596,US05287590
US06009596,US05289611
US06009596,US05330699
US06009596,US05334000
US06009596,US05349722
US06009596,US05373606
US06009596,US05388301
US06009596,US05404614
US06009596,US05406673
US06009596,US05430910
US06009596,US05443362
US06009596,US05455983
US06009596,US05455984
US06009596,US05465455
US06009596,US05469598
US06009596,US05526547
US06009596,US05535500
US06009596,US05555597
US06009596,US05715568
US06009597,US03986742
US06009597,US04419786
US06009597,US04625417
US06009597,US05446944
US06009597,US05448797
US06009597,US05448798
US06009597,US05802671
US06009597,US05895089
US06009598,US05547053
US06009598,US05581847
US06009598,US05615757
US06009598,US05647095
US06009598,US05713441
US06009598,US05781964
US06009598,US05813504
US06009599,US03973289
US06009599,US04381877
US06009600,US04236270
US06009600,US04493494
US06009600,US04548248
US06009600,US04613156
US06009600,US04641857
US06009600,US04683784
US06009600,US04850079
US06009600,US04882956
US06009600,US04885818
US06009600,US04934024
US06009600,US05149160
US06009600,US05535484
US06009600,US05546832
US06009600,US05588343
US06009600,US05606772
US06009600,US05622352
US06009600,US05647080
US06009600,US05680676
US06009600,US05692265
US06009600,US05704259
US06009601,US04480361
US06009601,US04505007
US06009601,US05042116
US06009601,US05253394
US06009601,US05451082
US06009601,US05515581
US06009602,US04422220
US06009602,US05152036
US06009603,US04736451
US06009603,US05211481
US06009603,US05248201
US06009603,US05293672
US06009603,US05774955
US06009604,US05380238
US06009605,US03936552
US06009605,US03952121
US06009605,US04657795
US06009605,US04790052
US06009605,US05203059
US06009605,US05217770
US06009605,US05323523
US06009605,US05513423
US06009605,US05546880
US06009606,US04041584
US06009606,US04408377
US06009606,US04547934
US06009606,US04807337
US06009607,US04110895
US06009607,US04160182
US06009607,US04586236
US06009607,US04979285
US06009607,US05075150
US06009607,US05142178
US06009607,US05265320
US06009607,US05338996
US06009607,US05349740
US06009607,US05406243
US06009607,US05757108
US06009608,US04776079
US06009608,US04881434
US06009609,US03871786
US06009609,US04037429
US06009609,US04124318
US06009609,US04128022
US06009609,US04259045
US06009609,US04304501
US06009609,US04437782
US06009609,US04514108
US06009609,US04598677
US06009609,US04913681
US06009609,US05098343
US06009609,US05105517
US06009609,US05186573
US06009609,US05582489
US06009609,US05665001
US06009609,US05688067
US06009610,US03889046
US06009610,US04126498
US06009610,US04234218
US06009610,US04293178
US06009610,US04431861
US06009610,US04466846
US06009610,US04896904
US06009610,US04924034
US06009611,US04127927
US06009611,US04161332
US06009611,US04192533
US06009611,US04317585
US06009611,US04438953
US06009611,US04444421
US06009611,US04614120
US06009611,US04700576
US06009611,US04703954
US06009611,US04712815
US06009611,US04762344
US06009611,US05015132
US06009611,US05454605
US06009611,US05794985
US06009612,US04364406
US06009612,US04369836
US06009612,US04394794
US06009612,US05517744
US06009612,US05661993
US06009613,US04614019
US06009613,US04728137
US06009613,US05038464
US06009613,US05044144
US06009613,US05088784
US06009613,US05105535
US06009613,US05117688
US06009613,US05119549
US06009613,US05125254
US06009613,US05125630
US06009613,US05159747
US06009613,US05174019
US06009613,US05179855
US06009613,US05809640
US06009613,US05819399
US06009614,US04043172
US06009614,US04379397
US06009614,US04468224
US06009614,US04576142
US06009614,US04644936
US06009614,US04681092
US06009614,US04697573
US06009614,US04901707
US06009614,US04907336
US06009614,US05132066
US06009614,US05133732
US06009614,US05183085
US06009614,US05189786
US06009614,US05437083
US06009614,US05546646
US06009614,US05626604
US06009614,US05630830
US06009614,US05653691
US06009614,US05695515
US06009614,US05738674
US06009614,US05746764
US06009614,US05783227
US06009614,US05785715
US06009614,US05795289
US06009614,US05810838
US06009614,US05836952
US06009614,US05860966
US06009614,US05893852
US06009615,US03952272
US06009615,US04533890
US06009615,US04635016
US06009616,US04557685
US06009616,US04768283
US06009616,US05235737
US06009616,US05437093
US06009616,US05494433
US06009616,US05507635
US06009616,US05507636
US06009616,US05518393
US06009616,US05569475
US06009616,US05591465
US06009616,US05614233
US06009616,US05658604
US06009616,US05704113
US06009616,US05795599
US06009616,US05820899
US06009616,US05851565
US06009617,US04851618
US06009618,US03866847
US06009619,US05112230
US06009619,US05181317
US06009619,US05220487
US06009619,US05434365
US06009619,US05451720
US06009619,US05665650
US06009620,US04017968
US06009620,US04319708
US06009620,US04681649
US06009620,US04704791
US06009620,US04791248
US06009620,US04792646
US06009620,US04967314
US06009620,US04983252
US06009620,US05006182
US06009620,US05028743
US06009620,US05117069
US06009620,US05118458
US06009620,US05146674
US06009620,US05153986
US06009620,US05224265
US06009620,US05243142
US06009620,US05271150
US06009620,US05288665
US06009620,US05346750
US06009620,US05421083
US06009620,US05443672
US06009620,US05450290
US06009620,US05451722
US06009620,US05487218
US06009620,US05557844
US06009620,US05568682
US06009620,US05571593
US06009620,US05662987
US06009620,US05665650
US06009620,US05666722
US06009620,US05685070
US06009620,US05689091
US06009620,US05740606
US06009620,US05745984
US06009620,US05779836
US06009620,US05822856
US06009621,US04152826
US06009622,US03950898
US06009622,US04198745
US06009622,US04712300
US06009622,US04974319
US06009623,US03879844
US06009623,US04380121
US06009623,US05111580
US06009623,US05146680
US06009623,US05165170
US06009623,US05347715
US06009623,US05500635
US06009623,US05600888
US06009623,US05671535
US06009623,US05789844
US06009624,US04270268
US06009624,US04378633
US06009624,US04378634
US06009624,US04442598
US06009624,US04488357
US06009624,US04492024
US06009624,US04492025
US06009624,US04498235
US06009624,US04551916
US06009624,US04573266
US06009624,US04621424
US06009624,US05063667
US06009624,US05402574
US06009624,US05416974
US06009624,US05761814
US06009624,US05787586
US06009625,US04010543
US06009625,US04277891
US06009625,US05461788
US06009625,US05579582
US06009625,US05720991
US06009626,US04268927
US06009626,US04721903
US06009626,US05662686
US06009627,US04020555
US06009627,US04106181
US06009627,US04294013
US06009627,US04441255
US06009627,US04470196
US06009627,US04528753
US06009627,US04594781
US06009627,US04601477
US06009627,US04648182
US06009627,US05103565
US06009627,US05165173
US06009627,US05263972
US06009627,US05306025
US06009627,US05322302
US06009627,US05324052
US06009627,US05443276
US06009627,US05458346
US06009627,US05487221
US06009627,US05573255
US06009627,US05575071
US06009628,US04081911
US06009628,US04237611
US06009628,US04656478
US06009628,US04835875
US06009628,US04845853
US06009628,US04890269
US06009628,US04922619
US06009628,US04924592
US06009628,US04945644
US06009628,US05062212
US06009628,US05197199
US06009628,US05425178
US06009628,US05596553
US06009629,US04698912
US06009629,US04733179
US06009629,US04807462
US06009629,US04866627
US06009629,US05187872
US06009629,US05349529
US06009630,US04043679
US06009630,US04221483
US06009630,US04852265
US06009630,US04912851
US06009630,US05075977
US06009630,US05184406
US06009630,US05519942
US06009630,US05524352
US06009630,US05531031
US06009630,US05594993
US06009630,US05782003
US06009631,US04914821
US06009631,US05067246
US06009631,US05174030
US06009632,US04637403
US06009632,US04802284
US06009632,US04882846
US06009632,US04994167
US06009632,US05037614
US06009632,US05053199
US06009632,US05199182
US06009632,US05279294
US06009632,US05281395
US06009632,US05304468
US06009632,US05424035
US06009632,US05515170
US06009632,US05522255
US06009632,US05580794
US06009632,US05763262
US06009632,US05795543
US06009632,US05829124
US06009632,US05872713
US06009632,US05912134
US06009633,US04265021
US06009633,US04291465
US06009634,US04461095
US06009634,US05071513
US06009634,US05594997
US06009634,US05778555
US06009634,US05867919
US06009635,US04616989
US06009635,US05158588
US06009635,US05300176
US06009635,US05340512
US06009635,US05534047
US06009636,US04566206
US06009636,US04592153
US06009636,US05060401
US06009636,US05138776
US06009636,US05706589
US06009636,US05826350
US06009637,US04183156
US06009637,US04670995
US06009637,US04887367
US06009637,US04936029
US06009637,US05025575
US06009637,US05199191
US06009637,US05287638
US06009637,US05313717
US06009637,US05363570
US06009637,US05425184
US06009637,US05771606
US06009638,US04051611
US06009638,US04126323
US06009638,US04160332
US06009638,US04268981
US06009638,US04326320
US06009638,US04387517
US06009638,US04395801
US06009638,US04547980
US06009638,US04649657
US06009638,US04670946
US06009638,US04683620
US06009638,US04727627
US06009638,US04761898
US06009638,US04796337
US06009638,US05172454
US06009638,US05416952
US06009638,US05495683
US06009638,US05498033
US06009638,US05530997
US06009638,US05611155
US06009638,US05678833
US06009638,US05745959
US06009638,US05779259
US06009638,US05802741
US06009639,US03969833
US06009639,US04391049
US06009639,US05175948
US06009639,US05499461
US06009639,US05519951
US06009639,US05575091
US06009639,US05647150
US06009639,US05901470
US06009639,US05903984
US06009640,US03859739
US06009640,US03890725
US06009640,US03898751
US06009640,US04014114
US06009640,US04141158
US06009640,US04180923
US06009640,US04205466
US06009640,US04233759
US06009640,US04309376
US06009640,US04330950
US06009640,US04366632
US06009640,US04392312
US06009640,US04492047
US06009640,US04521979
US06009640,US04527345
US06009640,US04571852
US06009640,US04587748
US06009640,US04633600
US06009640,US04689901
US06009640,US04723366
US06009640,US04727661
US06009640,US04777738
US06009640,US04782604
US06009640,US04833796
US06009640,US04837949
US06009640,US04885851
US06009640,US05033211
US06009640,US05070631
US06009640,US05259129
US06009640,US05367793
US06009641,US04922631
US06009642,US04074448
US06009642,US04187624
US06009642,US04549365
US06009642,US04665636
US06009642,US04680880
US06009642,US04962598
US06009642,US05046271
US06009642,US05114120
US06009642,US05123186
US06009642,US05207010
US06009642,US05209003
US06009642,US05398431
US06009642,US05479730
US06009642,US05513453
US06009642,US05666747
US06009643,US04541161
US06009643,US05007882
US06009643,US05040851
US06009643,US05711095
US06009643,US05836411
US06009644,US05410826
US06009644,US05438774
US06009644,US05452529
US06009644,US05465512
US06009644,US05564206
US06009644,US05784813
US06009646,US03918358
US06009646,US04120238
US06009646,US04155296
US06009646,US04164176
US06009646,US04167902
US06009646,US04178845
US06009646,US04228733
US06009646,US04459904
US06009646,US04572554
US06009646,US04577554
US06009646,US04817519
US06009646,US04830065
US06009646,US05279336
US06009646,US05433255
US06009646,US05467804
US06009647,US04166401
US06009647,US04204436
US06009647,US05134795
US06009648,US04075591
US06009648,US04201965
US06009648,US04577427
US06009648,US05521573
US06009648,US05600908
US06009648,US05627563
US06009648,US05809675
US06009649,US05287255
US06009649,US05493480
US06009649,US05642931
US06009650,US04096551
US06009650,US04112482
US06009650,US04217714
US06009650,US04559518
US06009650,US04816804
US06009650,US04841288
US06009650,US04891896
US06009650,US05036307
US06009650,US05132662
US06009650,US05134794
US06009650,US05166663
US06009650,US05233773
US06009650,US05276424
US06009650,US05299109
US06009650,US05303124
US06009650,US05345705
US06009650,US05357239
US06009650,US05406250
US06009650,US05566484
US06009651,US04329800
US06009651,US05664749
US06009651,US05701695
US06009651,US05906064
US06009652,US04103445
US06009652,US04817319
US06009652,US04916840
US06009653,US04644630
US06009653,US05452889
US06009653,US05487203
US06009654,US03896929
US06009654,US04043754
US06009654,US04119199
US06009654,US04155608
US06009654,US04299045
US06009654,US04446900
US06009654,US04721205
US06009654,US04870771
US06009654,US04912867
US06009654,US04916842
US06009654,US04934083
US06009654,US04936038
US06009654,US05012605
US06009654,US05048682
US06009654,US05138786
US06009654,US05168994
US06009654,US05172575
US06009654,US05236086
US06009654,US05313733
US06009654,US05419068
US06009654,US05437119
US06009654,US05437366
US06009654,US05450684
US06009654,US05458266
US06009654,US05621996
US06009654,US05720193
US06009655,US05784820
US06009656,US04251939
US06009656,US04660317
US06009656,US04779371
US06009656,US04916847
US06009656,US04951411
US06009656,US05056255
US06009656,US05119580
US06009656,US05437121
US06009656,US05461817
US06009656,US05540010
US06009657,US03958357
US06009657,US04251547
US06009657,US04362748
US06009657,US04752480
US06009657,US04950488
US06009657,US05062235
US06009657,US05197219
US06009657,US05216829
US06009658,US03940869
US06009658,US03964203
US06009658,US03967406
US06009658,US03986291
US06009658,US04033063
US06009658,US04177597
US06009658,US04236342
US06009658,US04307531
US06009658,US04312148
US06009658,US04429482
US06009658,US04530179
US06009658,US04709501
US06009658,US04771568
US06009658,US04967505
US06009658,US04993183
US06009658,US05117573
US06009658,US05134801
US06009658,US05228230
US06009658,US05491927
US06009658,US05524377
US06009658,US05630289
US06009658,US05640798
US06009658,US05787634
US06009658,US05862623
US06009659,US04458439
US06009659,US05784829
US06009659,US05852894
US06009660,US04238901
US06009660,US04680886
US06009660,US04742640
US06009660,US05182878
US06009660,US05410836
US06009661,US04158929
US06009661,US04310984
US06009661,US04413439
US06009661,US04449316
US06009661,US04468883
US06009661,US04569149
US06009661,US04763439
US06009661,US04831766
US06009661,US05345710
US06009661,US05497576
US06009662,US04074456
US06009662,US04144668
US06009662,US04709502
US06009662,US04780985
US06009662,US04914854
US06009662,US05570537
US06009662,US05632115
US06009663,US04232481
US06009663,US04297810
US06009663,US04345856
US06009663,US04414776
US06009663,US04584790
US06009663,US05010685
US06009663,US05022182
US06009663,US05043007
US06009663,US05047078
US06009663,US05125770
US06009663,US05207826
US06009663,US05235781
US06009663,US05274951
US06009663,US05317834
US06009663,US05516830
US06009664,US03869828
US06009664,US03888443
US06009664,US03962503
US06009664,US04043077
US06009664,US04054697
US06009664,US04091925
US06009664,US04113100
US06009664,US04118890
US06009664,US04189868
US06009664,US04216620
US06009664,US04248347
US06009664,US04280314
US06009664,US04297811
US06009664,US04333267
US06009664,US04347686
US06009664,US04380564
US06009664,US04400910
US06009664,US04413725
US06009664,US04546875
US06009664,US04621733
US06009664,US04640079
US06009664,US04717262
US06009664,US04733521
US06009664,US04765464
US06009664,US04771573
US06009664,US04773182
US06009664,US04801014
US06009664,US04810109
US06009664,US04835834
US06009664,US04941572
US06009664,US04980209
US06009664,US05073161
US06009664,US05074675
US06009664,US05105599
US06009664,US05111638
US06009664,US05120382
US06009664,US05152100
US06009664,US05181364
US06009664,US05199242
US06009664,US05205108
US06009664,US05228234
US06009664,US05235782
US06009664,US05239775
US06009664,US05249407
US06009664,US05259106
US06009664,US05307606
US06009664,US05315785
US06009664,US05350240
US06009664,US05353575
US06009664,US05361482
US06009664,US05388695
US06009664,US05443670
US06009664,US05493809
US06009664,US05496251
US06009664,US05496252
US06009664,US05526932
US06009664,US05572851
US06009664,US05575133
US06009664,US05617703
US06009664,US05624320
US06009664,US05647168
US06009664,US05704161
US06009665,US03962503
US06009665,US03974915
US06009665,US04089410
US06009665,US04091925
US06009665,US04101032
US06009665,US04108350
US06009665,US04171085
US06009665,US04216620
US06009665,US04300312
US06009665,US04333267
US06009665,US04400910
US06009665,US04801014
US06009665,US04989396
US06009665,US05007229
US06009665,US05007578
US06009665,US05105599
US06009665,US05106662
US06009665,US05111637
US06009665,US05111638
US06009665,US05145062
US06009665,US05161348
US06009665,US05181364
US06009665,US05205108
US06009665,US05228234
US06009665,US05235782
US06009665,US05239775
US06009665,US05245814
US06009665,US05293715
US06009665,US05307605
US06009665,US05311991
US06009665,US05315785
US06009665,US05373943
US06009665,US05381642
US06009665,US05388695
US06009665,US05396992
US06009665,US05400905
US06009665,US05408803
US06009665,US05428939
US06009665,US05443670
US06009665,US05467573
US06009665,US05501060
US06009665,US05522202
US06009665,US05526932
US06009665,US05544469
US06009665,US05557882
US06009665,US05560488
US06009665,US05572826
US06009665,US05595048
US06009665,US05615774
US06009665,US05634558
US06009665,US05687502
US06009665,US05715588
US06009665,US05781981
US06009665,US05809629
US06009665,US05816020
US06009665,US05817382
US06009665,US05832663
US06009665,US05842569
US06009666,US05370452
US06009666,US05395064
US06009666,US05645333
US06009667,US05195210
US06009668,US04091570
US06009668,US04198786
US06009668,US04901474
US06009668,US05341598
US06009669,US05804276
US06009669,US05869389
US06009670,US04519164
US06009670,US04658543
US06009670,US04887393
US06009670,US05131187
US06009670,US05263281
US06009670,US05299386
US06009670,US05440838
US06009671,US05063897
US06009671,US05644869
US06009671,US05708338
US06009671,US05737875
US06009671,US05793173
US06009671,US05833301
US06009672,US05271191
US06009672,US05333417
US06009672,US05333419
US06009672,US05383310
US06009673,US04265261
US06009673,US04364193
US06009673,US05036634
US06009673,US05210984
US06009673,US05724774
US06009674,US04261149
